code,name
00056001102,Naltrexone 50 MG Oral Tablet [ReVia]
00056001122,Naltrexone 50 MG Oral Tablet [ReVia]
00056001130,Naltrexone 50 MG Oral Tablet [ReVia]
00056001170,Naltrexone 50 MG Oral Tablet [ReVia]
00056007950,Naltrexone 50 MG Oral Tablet [ReVia]
00056008050,Naltrexone 50 MG Oral Tablet
00179179270,Naltrexone 50 MG Oral Tablet
00179179271,Naltrexone 50 MG Oral Tablet
00179179272,Naltrexone 50 MG Oral Tablet
00179197770,Naltrexone 50 MG Oral Tablet
00179197771,Naltrexone 50 MG Oral Tablet
00179197772,Naltrexone 50 MG Oral Tablet
00185003901,naltrexone hydrochloride 50 MG Oral Tablet
00185003930,naltrexone hydrochloride 50 MG Oral Tablet
00406009201,Naltrexone hydrochloride 50 MG Oral Tablet [Depade]
00406009203,Naltrexone hydrochloride 50 MG Oral Tablet [Depade]
00406009205,Naltrexone 50 MG Oral Tablet [Depade]
00406117001,naltrexone hydrochloride 50 MG Oral Tablet
00406117003,naltrexone hydrochloride 50 MG Oral Tablet
00555090201,naltrexone hydrochloride 50 MG Oral Tablet
00555090202,naltrexone hydrochloride 50 MG Oral Tablet
00555090210,Naltrexone 50 MG Oral Tablet
00756030501,Naltrexone 50 MG Oral Tablet
00756030503,Naltrexone 50 MG Oral Tablet
00855106030,Naltrexone 50 MG Oral Tablet
00904703604,naltrexone hydrochloride 50 MG Oral Tablet
16729008101,naltrexone hydrochloride 50 MG Oral Tablet
16729008110,naltrexone hydrochloride 50 MG Oral Tablet
42291063230,naltrexone hydrochloride 50 MG Oral Tablet
43063046915,Naltrexone hydrochloride 50 MG Oral Tablet
43063059115,naltrexone hydrochloride 50 MG Oral Tablet
47335032608,naltrexone hydrochloride 50 MG Oral Tablet
47335032618,naltrexone hydrochloride 50 MG Oral Tablet
47335032683,naltrexone hydrochloride 50 MG Oral Tablet
47335032688,naltrexone hydrochloride 50 MG Oral Tablet
50090286600,naltrexone hydrochloride 50 MG Oral Tablet
50090307600,naltrexone hydrochloride 50 MG Oral Tablet
50090392900,naltrexone hydrochloride 50 MG Oral Tablet
50090492500,naltrexone hydrochloride 50 MG Oral Tablet
50090492600,naltrexone hydrochloride 50 MG Oral Tablet
50436010501,naltrexone hydrochloride 50 MG Oral Tablet
51129173501,Naltrexone 50 MG Oral Tablet
51129368001,Naltrexone 50 MG Oral Tablet
51129368002,Naltrexone 50 MG Oral Tablet
51224020630,naltrexone hydrochloride 50 MG Oral Tablet
51224020650,naltrexone hydrochloride 50 MG Oral Tablet
51285027501,Naltrexone hydrochloride 50 MG Oral Tablet [ReVia]
51285027502,naltrexone hydrochloride 50 MG Oral Tablet [ReVia]
52125072702,Naltrexone hydrochloride 50 MG Oral Tablet
52152010502,Naltrexone 50 MG Oral Tablet
52152010504,Naltrexone 50 MG Oral Tablet
52152010511,Naltrexone 50 MG Oral Tablet
52152010530,Naltrexone 50 MG Oral Tablet
